ad,ed,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein
26,22,0,1,15,1,13,0,1,44,29,0,10,41,0,1
26,23,1,0,23,4,10,0,8,38,35,1,9,53,1,0
26,24,0,2,23,5,9,0,0,45,31,0,8,30,0,0
26,25,0,2,15,0,2,0,1,37,18,0,3,29,0,0
26,26,1,4,18,6,25,2,2,68,28,0,2,29,0,0
26,27,0,3,19,2,20,0,2,30,24,0,6,29,0,0
26,28,0,1,7,5,10,0,0,34,36,0,4,52,1,0
26,29,0,1,20,4,17,1,1,55,28,0,7,54,0,0
26,30,0,2,20,5,14,0,0,72,23,0,5,62,1,0
26,31,1,3,9,7,13,1,2,73,31,0,4,40,1,0
26,32,2,1,14,0,21,1,7,27,25,0,4,57,0,1
26,33,0,3,14,7,18,0,10,48,21,0,6,61,0,1
26,34,0,2,14,1,28,0,1,47,31,0,4,57,1,0
26,35,0,2,19,1,13,1,1,30,22,0,1,35,0,0
26,36,1,0,1,0,4,1,5,7,4,0,1,38,0,0
26,37,0,2,8,4,17,1,7,28,15,0,8,48,0,0
26,38,1,0,0,0,0,0,0,0,3,0,0,4,0,0
26,39,1,3,0,1,19,0,10,17,15,0,6,43,0,1
26,40,1,0,11,0,8,1,12,11,16,0,1,47,0,0
26,41,0,0,3,1,0,0,1,0,4,0,0,8,0,0
26,42,0,1,5,0,16,0,0,28,17,0,3,39,0,0
26,43,0,1,1,4,5,0,4,8,8,0,3,28,0,0
26,44,0,0,3,0,11,0,3,8,6,0,5,27,0,0
26,45,1,0,23,3,13,1,0,33,30,0,6,41,0,0
26,46,0,3,25,2,22,0,0,44,25,0,4,44,0,0
26,47,3,1,28,4,21,1,0,39,35,0,7,35,0,0
26,48,0,1,25,3,9,0,4,25,26,1,7,55,0,1
26,49,1,0,14,1,14,1,4,19,16,0,3,33,0,0
26,50,1,4,16,6,13,0,1,37,18,0,3,41,0,1
26,51,0,3,3,1,12,0,1,22,12,0,3,28,0,0
26,52,0,3,16,2,12,3,3,22,15,0,3,16,1,0
26,53,1,3,5,2,20,1,5,25,27,1,3,35,1,0
26,54,1,2,8,5,5,0,3,21,17,0,3,56,0,0
26,55,2,4,8,5,17,0,3,16,17,0,6,50,0,0
26,56,0,3,11,1,10,1,10,31,29,0,1,64,0,0
26,57,0,2,7,3,24,2,6,28,25,0,5,41,0,0
