ad,ed,silwa,mateo,writein_rep,foldenauer,morales,stringer,mcguire,wiley,prince,chang,garcia,adams,wright jr,donovan,yang,taylor,writein_dem
51,68,0,0,0,0,1,1,0,17,0,0,31,5,1,1,4,0,0
51,71,0,0,0,2,3,7,4,25,0,1,9,79,0,2,13,0,0
52,1,0,0,0,0,1,13,6,53,1,1,60,17,0,4,13,0,0
52,21,0,0,0,0,2,1,0,28,0,0,18,4,0,0,2,0,0
52,33,0,0,0,1,11,11,2,88,0,2,90,26,1,7,13,0,0
52,36,0,0,0,2,4,18,6,93,2,1,144,23,0,6,17,0,0
52,51,0,0,0,1,8,4,1,21,1,0,4,94,3,4,8,1,0
52,52,0,0,0,1,5,5,2,23,1,1,3,69,0,3,10,2,0
52,56,0,0,0,2,5,2,4,74,2,3,55,38,1,2,9,0,0
52,60,0,0,0,0,5,17,4,99,2,3,80,43,1,2,11,0,0
52,67,0,0,0,0,5,14,3,106,4,1,108,15,0,4,14,0,0
52,68,0,0,0,0,6,15,1,100,0,0,212,22,0,2,7,0,0
52,73,0,0,0,0,6,13,3,121,2,3,157,32,0,4,3,1,0
52,74,0,0,0,0,7,14,3,120,2,2,113,38,0,5,6,0,0
52,76,0,0,0,0,3,13,1,43,0,0,58,8,0,0,1,0,0
52,79,0,0,0,0,0,8,0,52,0,0,16,6,0,3,11,0,0
52,80,0,0,0,0,2,5,0,51,1,1,31,6,0,3,6,0,0
52,81,0,0,0,1,10,19,3,140,1,2,115,23,0,3,19,0,0
52,87,0,0,0,0,6,7,6,101,1,2,213,24,0,3,35,0,0
52,91,0,0,0,0,6,4,2,89,3,3,73,10,0,1,4,1,0
52,92,0,0,0,0,1,20,1,120,0,1,172,22,0,6,28,0,0
52,107,0,0,0,1,7,9,0,116,4,2,100,20,0,5,18,0,1
52,114,0,0,0,0,5,12,8,114,1,2,142,21,0,2,26,0,0
53,1,0,0,0,0,6,1,0,56,3,3,20,18,0,1,11,0,0
53,4,0,0,0,1,12,5,2,64,2,0,34,20,0,2,6,1,0
53,5,0,0,0,2,9,2,2,48,1,1,21,33,0,1,9,0,0
53,7,0,0,0,2,9,7,0,59,1,1,25,29,0,1,10,0,0
53,11,0,0,0,2,8,7,0,51,0,0,13,31,0,0,6,0,0
53,13,0,0,0,2,11,3,2,100,3,1,22,25,0,0,8,0,0
53,26,0,0,0,3,2,3,1,16,0,0,13,44,0,1,56,0,0
53,29,0,0,0,0,3,2,1,60,1,1,14,21,0,0,14,0,0
53,30,0,0,0,0,1,1,0,28,1,0,10,11,0,0,7,0,0
53,38,0,0,0,0,0,0,1,34,2,1,11,6,0,0,5,0,0
53,42,0,0,0,2,2,5,1,10,0,2,4,36,0,1,1,0,0
53,43,0,0,0,2,5,2,1,20,0,0,2,67,0,1,3,0,0
53,47,0,0,0,0,5,9,1,95,9,3,19,21,0,0,5,1,0
53,48,0,0,0,0,5,2,0,93,8,3,13,15,0,1,2,0,0
53,51,0,0,0,2,4,0,2,9,0,1,5,42,0,0,7,1,0
53,58,0,0,0,1,4,4,0,106,7,1,16,8,0,0,7,0,0
53,59,0,0,0,1,6,4,0,52,2,1,14,14,0,1,15,1,0
53,60,0,0,0,0,15,5,1,134,11,4,19,19,1,2,27,0,1
53,62,0,0,0,1,1,2,1,24,0,0,3,10,0,0,8,0,0
53,74,0,0,0,2,19,3,2,26,3,1,19,95,1,1,9,3,1
54,8,0,0,0,1,4,1,2,22,3,1,5,34,1,2,2,1,0
54,9,0,0,0,6,2,3,2,24,0,1,4,60,1,0,4,1,0
54,10,0,0,0,0,2,2,1,28,0,0,7,82,0,3,4,0,0
54,11,0,0,0,0,6,3,2,28,3,1,15,76,0,3,6,1,0
54,13,0,0,0,1,7,2,2,81,7,2,20,32,1,1,8,0,0
54,19,0,0,0,1,6,3,0,21,0,0,3,23,0,0,2,0,0
54,29,0,0,0,0,6,5,4,66,5,1,9,54,0,1,6,0,0
54,30,0,0,0,1,7,4,2,42,4,0,12,58,0,4,5,2,0
54,32,0,0,0,0,6,2,0,47,2,0,9,33,1,1,8,0,0
54,33,0,0,0,0,9,1,1,57,1,0,15,38,0,1,12,0,0
54,35,0,0,0,0,9,3,0,46,3,0,8,38,0,0,12,2,0
54,36,0,0,0,1,6,1,2,54,3,1,8,41,0,3,12,0,0
54,44,0,0,0,0,4,1,3,14,0,0,4,45,0,0,11,0,0
54,61,0,0,0,0,8,3,4,43,1,1,16,38,1,1,7,0,0
54,63,0,0,0,1,6,5,6,51,3,2,10,56,0,2,10,0,0
