ad,ed,silwa,mateo,writein
34,43,1,0,0
34,44,1,0,0
34,45,4,0,0
34,46,2,1,0
34,47,1,0,0
34,48,3,0,1
34,49,2,2,0
34,50,1,0,0
34,51,8,5,0
34,52,8,2,0
34,53,0,0,0
34,54,0,0,0
34,55,0,0,0
34,56,1,0,0
34,57,2,0,1
34,58,0,0,0
34,59,0,0,0
34,60,5,2,2
34,61,0,0,0
34,62,3,0,0
34,63,4,4,0
34,64,0,0,0
34,65,1,3,0
34,66,3,2,0
34,67,3,0,0
34,68,5,3,1
34,69,7,4,0
34,70,1,1,0
34,71,1,3,1
34,72,9,2,0
34,73,2,1,1
35,1,3,0,0
35,2,18,5,1
35,3,7,7,1
35,4,15,1,0
35,5,1,2,1
35,6,5,5,0
35,7,6,5,0
35,8,0,3,0
35,9,1,0,0
35,10,0,1,0
35,11,6,2,0
35,12,1,0,0
35,13,3,3,0
35,14,0,1,0
35,15,0,0,0
35,16,0,1,1
35,17,1,2,0
35,18,0,0,1
35,19,2,2,0
35,20,1,1,0
35,21,0,0,0
35,22,0,1,0
35,23,12,1,0
35,24,7,4,4
35,25,0,1,0
35,26,5,3,0
35,27,6,2,0
35,28,1,2,0
35,29,0,0,0
35,30,4,1,0
35,31,0,0,0
35,32,1,1,0
35,33,8,1,0
35,34,0,0,0
35,35,1,0,0
35,36,1,0,0
35,37,1,2,0
35,38,4,2,0
35,39,1,1,0
35,40,5,1,0
35,41,0,5,0
35,42,1,0,0
35,43,1,0,0
35,44,1,1,1
35,45,0,0,0
35,46,1,0,0
35,47,0,0,0
35,48,1,0,0
35,49,3,2,0
35,50,3,2,0
35,51,1,1,0
35,52,2,6,1
35,53,2,0,0
35,54,0,0,0
35,55,0,0,0
35,56,0,0,0
35,57,0,0,0
35,58,0,0,0
35,59,0,0,0
35,60,0,0,0
35,61,0,0,0
35,62,0,0,0
35,63,1,2,0
35,64,10,1,1
35,65,0,0,0
35,66,1,0,0
36,1,13,4,1
36,2,16,5,1
36,3,1,0,0
36,4,11,1,0
36,5,1,5,0
36,6,1,2,0
36,7,1,2,0
36,8,5,3,0
36,9,3,0,0
36,10,2,3,1
36,11,3,2,0
36,12,4,2,0
36,13,9,4,0
36,14,4,5,0
36,15,5,5,0
36,16,6,0,0
36,17,0,4,0
36,18,2,2,0
36,19,2,1,0
36,20,3,9,1
36,21,2,1,0
36,22,3,4,1
36,23,4,2,0
36,24,3,2,0
36,25,2,2,0
36,26,3,5,0
36,27,10,5,1
36,28,9,2,0
36,29,7,1,1
36,30,5,4,0
36,31,8,8,1
36,32,8,3,0
36,33,4,1,0
36,34,6,1,0
36,35,2,7,0
36,36,4,0,0
36,37,4,4,0
36,38,4,2,0
36,39,4,2,0
36,40,2,2,0
36,41,4,7,1
36,42,4,8,0
36,43,4,4,0
36,44,0,0,0
36,45,4,2,0
36,46,2,12,0
36,47,15,4,2
36,48,13,5,2
36,49,10,5,0
36,50,3,1,0
36,51,1,1,0
36,52,4,3,0
36,53,23,7,0
36,54,13,11,0
36,55,11,7,0
36,56,4,4,3
36,57,3,5,0
36,58,3,2,1
36,59,4,1,0
36,60,2,2,0
36,61,3,2,0
36,62,5,1,0
36,63,2,3,0
36,64,4,1,0
36,65,0,0,0
36,66,2,3,0
36,67,3,3,1
36,68,0,0,0
36,69,0,0,0
36,70,0,0,0
36,71,0,0,0
36,72,4,6,0
36,73,3,2,0
36,74,4,6,1
36,75,4,1,0
36,76,2,1,0
36,77,2,1,0
